match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807789110,7402364990,False,1778566328,1740,0,23,32,4,187,"[20, 104, 33, 128, 36]","[23, 34, 11, 3, 10]"
8807789107,7402364894,True,1778566323,1690,7,22,14,4,183,"[39, 81, 26, 67, 40]","[11, 14, 35, 121, 50]"
8807789092,7402364995,False,1778566323,1763,0,23,32,1,151,"[106, 41, 47, 40, 86]","[12, 15, 51, 6, 26]"
8807789085,7402365930,True,1778566323,1836,7,22,75,5,183,"[28, 7, 82, 8, 111]","[98, 93, 74, 31, 75]"
8807789074,7402362751,True,1778566323,1448,0,23,33,2,381,"[7, 46, 67, 19, 128]","[21, 109, 119, 32, 114]"
8807789057,7402366361,False,1778566318,1936,0,23,61,5,153,"[93, 74, 40, 88, 14]","[26, 94, 35, 99, 42]"
8807789036,7402365074,False,1778566318,1624,7,22,54,2,346,"[35, 21, 42, 97, 96]","[30, 40, 104, 73, 11]"
8807789035,7402364402,True,1778566318,1691,0,23,71,4,187,"[71, 114, 21, 28, 101]","[70, 78, 94, 111, 74]"
8807789032,7402363980,True,1778566288,1617,0,23,31,1,153,"[39, 42, 97, 86, 31]","[93, 100, 73, 119, 26]"
8807789008,7402361418,True,1778566318,1286,0,23,54,3,152,"[67, 39, 41, 128, 5]","[14, 93, 86, 106, 2]"
8807788971,7402364692,False,1778566313,1638,7,22,21,2,181,"[30, 28, 67, 123, 77]","[85, 56, 15, 74, 20]"
8807788963,7402363826,False,1778566313,1536,7,22,53,6,227,"[107, 126, 111, 41, 71]","[43, 47, 20, 84, 7]"
8807788961,7402365581,True,1778566313,1752,7,22,23,3,227,"[135, 108, 110, 87, 114]","[6, 40, 93, 73, 84]"
8807788959,7402362575,False,1778566313,1437,0,23,45,3,232,"[14, 36, 8, 75, 4]","[17, 71, 106, 7, 44]"
8807788958,7402364671,True,1778566308,1656,0,22,61,1,185,"[26, 58, 27, 61, 99]","[22, 93, 126, 42, 128]"
