match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,role_Carry_radiant,role_Carry_dire,role_Disabler_radiant,role_Disabler_dire,role_Durable_radiant,role_Durable_dire,role_Escape_radiant,role_Escape_dire,role_Initiator_radiant,role_Initiator_dire,role_Nuker_radiant,role_Nuker_dire,role_Pusher_radiant,role_Pusher_dire,role_Support_radiant,role_Support_dire,attr_agi_radiant,attr_agi_dire,attr_all_radiant,attr_all_dire,attr_int_radiant,attr_int_dire,attr_str_radiant,attr_str_dire,attr_unknown_radiant,attr_unknown_dire,radiant_win_rate
8806517234,7401308628,False,1778482945,1286,0,23,34,3,184,0.4,0.8,0.8,0.8,0.2,0.6,0.2,0.2,0.8,0.4,0.6,0.8,0.0,0.0,0.4,0.2,0.2,0.4,0.0,0.0,0.4,0.2,0.4,0.4,0.0,0.0,0
8806517213,7401308290,True,1778482940,1237,0,23,24,2,185,0.6,0.4,0.6,0.8,0.2,0.4,0.4,0.6,0.4,0.4,0.8,0.6,0.2,0.0,0.4,0.2,0.4,0.4,0.0,0.2,0.4,0.0,0.2,0.4,0.0,0.0,1
8806517207,7401308208,False,1778482945,1255,0,23,23,5,274,0.8,0.6,0.8,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.6,0.6,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.4,0.4,0.0,0.0,0.0,0
8806517194,7401307307,False,1778482940,1170,0,23,43,4,185,0.8,0.4,0.8,0.8,0.4,0.4,0.4,0.2,0.4,0.6,1.0,1.0,0.6,0.2,0.2,0.6,0.4,0.0,0.0,0.0,0.4,0.6,0.2,0.4,0.0,0.0,0
8806517173,7401308427,True,1778482945,1280,0,23,32,4,183,0.4,0.6,0.4,0.6,0.4,0.0,0.4,0.4,0.4,0.4,0.8,0.6,0.0,0.6,0.4,0.2,0.4,0.4,0.0,0.4,0.2,0.2,0.4,0.0,0.0,0.0,1
8806517172,7401307214,True,1778482945,1130,0,23,51,2,152,0.4,1.0,0.8,1.0,0.4,0.4,0.2,0.8,0.0,0.6,0.4,0.6,0.6,0.0,0.6,0.2,0.4,0.6,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,1
8806517118,7401308258,False,1778482939,1256,0,23,35,3,152,0.6,0.4,0.6,0.4,0.4,0.2,0.6,0.4,0.4,0.2,0.4,1.0,0.2,0.0,0.2,0.4,0.4,0.4,0.0,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0
8806517115,7401306012,True,1778482930,1004,0,23,52,3,122,0.4,0.4,0.6,1.0,0.0,0.6,0.4,0.2,0.2,0.4,0.8,0.8,0.6,0.0,0.4,0.8,0.2,0.0,0.2,0.0,0.6,0.6,0.0,0.4,0.0,0.0,1
8806517090,7401306542,False,1778482935,1063,0,23,24,2,183,0.6,0.8,0.8,0.6,0.4,0.6,0.0,0.2,0.4,0.6,0.8,1.0,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.0,0.4,0.2,0.0,0.6,0.0,0.0,0
8806517053,7401308493,False,1778482925,1282,0,23,64,3,152,0.6,0.6,1.0,0.6,0.4,0.4,0.2,0.2,0.4,0.4,0.6,0.8,0.4,0.0,0.4,0.2,0.4,0.2,0.0,0.2,0.4,0.2,0.2,0.4,0.0,0.0,0
8806516996,7401307604,False,1778482930,1189,0,23,25,3,185,0.6,0.8,0.6,0.8,0.4,0.6,0.4,0.6,0.6,0.4,0.8,0.4,0.0,0.0,0.2,0.4,0.0,0.4,0.2,0.0,0.4,0.2,0.4,0.4,0.0,0.0,0
8806516964,7401308100,True,1778482920,1258,0,23,42,5,193,1.0,0.2,0.6,0.4,0.4,0.2,0.0,0.6,0.6,0.0,1.0,1.0,0.6,0.2,0.2,0.4,0.4,0.4,0.0,0.0,0.2,0.4,0.4,0.2,0.0,0.0,1
8806516920,7401308087,False,1778482925,1259,0,23,33,4,184,0.6,1.0,0.8,0.6,0.2,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.8,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.4,0.2,0.2,0.4,0.0,0.0,0
8806516906,7401308024,False,1778482900,1257,0,23,54,4,227,0.4,0.4,0.6,1.0,0.2,0.4,0.6,0.4,0.6,0.6,0.6,0.8,0.0,0.2,0.4,0.8,0.2,0.4,0.0,0.0,0.2,0.2,0.6,0.4,0.0,0.0,0
8806516852,7401307238,False,1778482899,1165,0,23,25,1,184,0.8,0.2,0.4,0.6,0.0,0.2,0.6,0.6,0.0,0.4,0.8,0.8,0.2,0.0,0.2,0.2,0.6,0.4,0.0,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0
8806516832,7401307099,True,1778482920,1157,14,13,42,1,187,0.8,0.6,0.8,0.8,0.2,0.4,0.2,0.4,0.4,0.6,0.4,0.6,0.2,0.4,0.4,0.4,0.4,0.6,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,1
8806516827,7401306222,True,1778482915,1055,0,23,32,7,183,0.4,0.4,0.4,0.8,0.2,0.4,0.4,0.4,0.2,0.4,0.8,1.0,0.2,0.2,0.4,0.8,0.2,0.0,0.0,0.6,0.6,0.2,0.2,0.2,0.0,0.0,1
8806516785,7401308504,True,1778482910,1318,0,23,44,5,186,0.4,0.2,0.6,1.0,0.2,0.2,0.4,0.6,0.8,0.6,1.0,0.8,0.4,0.0,0.4,0.6,0.2,0.2,0.0,0.4,0.6,0.2,0.2,0.2,0.0,0.0,1
8806516732,7401305113,True,1778482905,945,0,23,55,3,182,0.4,0.8,0.6,0.6,0.4,0.2,0.4,0.8,0.2,0.0,0.6,1.0,0.2,0.4,0.4,0.4,0.2,0.4,0.0,0.2,0.4,0.2,0.4,0.2,0.0,0.0,1
8806516655,7401307338,False,1778482900,1194,0,23,33,5,183,0.6,0.6,1.0,0.6,0.6,0.2,0.2,0.4,0.8,0.2,0.8,1.0,0.2,0.2,0.6,0.4,0.4,0.2,0.0,0.2,0.2,0.4,0.4,0.2,0.0,0.0,0
8806516646,7401305130,False,1778482900,954,0,23,34,3,184,0.2,0.2,1.0,0.8,0.4,0.2,0.4,0.4,0.8,0.4,0.6,1.0,0.2,0.0,0.4,0.2,0.0,0.0,0.4,0.6,0.2,0.4,0.4,0.0,0.0,0.0,0
8806516643,7401304863,False,1778482895,907,7,22,13,2,152,0.8,0.4,0.8,0.6,0.6,0.4,0.4,0.4,0.8,0.4,0.8,0.8,0.4,0.4,0.2,0.8,0.2,0.0,0.2,0.0,0.0,0.4,0.6,0.6,0.0,0.0,0
8806516638,7401303755,False,1778482890,734,7,22,33,1,184,0.6,0.6,1.0,0.8,0.8,0.2,0.0,0.4,1.0,0.4,0.8,0.6,0.0,0.4,0.4,0.6,0.0,0.2,0.0,0.2,0.0,0.4,1.0,0.2,0.0,0.0,0
